timestamp,category,slug,question,outcome,token_id,price,volume,closed,end_date
2026-02-11 10:00:22+00:00,politics_us,bitcoin-above-72k-on-february-13,"Will the price of Bitcoin be above $72,000 on February 13?",Yes,104756358230945600581080149774775022579878993398785877333022959305128527232822,0.06,999989.655509,True,2026-02-13T17:00:00Z
2026-02-11 11:00:22+00:00,politics_us,bitcoin-above-72k-on-february-13,"Will the price of Bitcoin be above $72,000 on February 13?",Yes,104756358230945600581080149774775022579878993398785877333022959305128527232822,0.05,999989.655509,True,2026-02-13T17:00:00Z
2026-02-11 12:00:42+00:00,politics_us,bitcoin-above-72k-on-february-13,"Will the price of Bitcoin be above $72,000 on February 13?",Yes,104756358230945600581080149774775022579878993398785877333022959305128527232822,0.06,999989.655509,True,2026-02-13T17:00:00Z
2026-02-11 13:00:22+00:00,politics_us,bitcoin-above-72k-on-february-13,"Will the price of Bitcoin be above $72,000 on February 13?",Yes,104756358230945600581080149774775022579878993398785877333022959305128527232822,0.07,999989.655509,True,2026-02-13T17:00:00Z
2026-02-11 14:00:26+00:00,politics_us,bitcoin-above-72k-on-february-13,"Will the price of Bitcoin be above $72,000 on February 13?",Yes,104756358230945600581080149774775022579878993398785877333022959305128527232822,0.07,999989.655509,True,2026-02-13T17:00:00Z
2026-02-11 15:00:50+00:00,politics_us,bitcoin-above-72k-on-february-13,"Will the price of Bitcoin be above $72,000 on February 13?",Yes,104756358230945600581080149774775022579878993398785877333022959305128527232822,0.035,999989.655509,True,2026-02-13T17:00:00Z
2026-02-11 16:00:22+00:00,politics_us,bitcoin-above-72k-on-february-13,"Will the price of Bitcoin be above $72,000 on February 13?",Yes,104756358230945600581080149774775022579878993398785877333022959305128527232822,0.0255,999989.655509,True,2026-02-13T17:00:00Z
2026-02-11 17:00:32+00:00,politics_us,bitcoin-above-72k-on-february-13,"Will the price of Bitcoin be above $72,000 on February 13?",Yes,104756358230945600581080149774775022579878993398785877333022959305128527232822,0.0225,999989.655509,True,2026-02-13T17:00:00Z
2026-02-11 18:00:34+00:00,politics_us,bitcoin-above-72k-on-february-13,"Will the price of Bitcoin be above $72,000 on February 13?",Yes,104756358230945600581080149774775022579878993398785877333022959305128527232822,0.036,999989.655509,True,2026-02-13T17:00:00Z
2026-02-11 19:00:23+00:00,politics_us,bitcoin-above-72k-on-february-13,"Will the price of Bitcoin be above $72,000 on February 13?",Yes,104756358230945600581080149774775022579878993398785877333022959305128527232822,0.0465,999989.655509,True,2026-02-13T17:00:00Z
2026-02-11 20:00:49+00:00,politics_us,bitcoin-above-72k-on-february-13,"Will the price of Bitcoin be above $72,000 on February 13?",Yes,104756358230945600581080149774775022579878993398785877333022959305128527232822,0.0525,999989.655509,True,2026-02-13T17:00:00Z
2026-02-11 21:00:55+00:00,politics_us,bitcoin-above-72k-on-february-13,"Will the price of Bitcoin be above $72,000 on February 13?",Yes,104756358230945600581080149774775022579878993398785877333022959305128527232822,0.046,999989.655509,True,2026-02-13T17:00:00Z
2026-02-11 22:00:23+00:00,politics_us,bitcoin-above-72k-on-february-13,"Will the price of Bitcoin be above $72,000 on February 13?",Yes,104756358230945600581080149774775022579878993398785877333022959305128527232822,0.0715,999989.655509,True,2026-02-13T17:00:00Z
2026-02-11 23:00:24+00:00,politics_us,bitcoin-above-72k-on-february-13,"Will the price of Bitcoin be above $72,000 on February 13?",Yes,104756358230945600581080149774775022579878993398785877333022959305128527232822,0.0485,999989.655509,True,2026-02-13T17:00:00Z
2026-02-12 00:00:51+00:00,politics_us,bitcoin-above-72k-on-february-13,"Will the price of Bitcoin be above $72,000 on February 13?",Yes,104756358230945600581080149774775022579878993398785877333022959305128527232822,0.04,999989.655509,True,2026-02-13T17:00:00Z
2026-02-12 01:00:19+00:00,politics_us,bitcoin-above-72k-on-february-13,"Will the price of Bitcoin be above $72,000 on February 13?",Yes,104756358230945600581080149774775022579878993398785877333022959305128527232822,0.0445,999989.655509,True,2026-02-13T17:00:00Z
