timestamp,slug,question,outcome,token_id,price,volume
2026-03-03 12:00:43+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.5,999.99
2026-03-03 13:00:30+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.5,999.99
2026-03-03 14:00:48+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.495,999.99
2026-03-03 15:00:39+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.5,999.99
2026-03-03 16:00:31+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.5,999.99
2026-03-03 17:00:30+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.5,999.99
2026-03-03 18:00:37+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.5,999.99
2026-03-03 19:00:32+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.5,999.99
2026-03-03 20:00:32+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.5,999.99
2026-03-03 21:00:56+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.5,999.99
2026-03-03 22:00:33+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.5,999.99
2026-03-03 23:00:32+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.51,999.99
2026-03-04 00:00:42+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.51,999.99
2026-03-04 01:00:31+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.51,999.99
2026-03-04 02:00:32+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.5,999.99
2026-03-04 03:00:34+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.51,999.99
2026-03-04 04:00:31+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.505,999.99
2026-03-04 05:00:28+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.505,999.99
2026-03-04 06:00:35+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.505,999.99
2026-03-04 07:00:27+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.5,999.99
